"","Date","WORK.Open","WORK.High","WORK.Low","WORK.Close","WORK.Volume","WORK.Adjusted"
"196",2020-03-30,29.09,29.709999,27.85,28.209999,12831200,28.209999
"197",2020-03-31,28.360001,28.440001,26.52,26.84,11559500,26.84
"198",2020-04-01,26.15,27.370001,25.582001,25.75,8348000,25.75
"199",2020-04-02,25.48,26.25,23.559999,24.26,11099800,24.26
"200",2020-04-03,24.75,24.860001,23.809999,24.26,6540400,24.26
"201",2020-04-06,22.780001,25.48,22.6,24.309999,13454700,24.309999
"202",2020-04-07,24.33,24.700001,22.92,23.48,21658200,23.48
"203",2020-04-08,23.9,25.08,23.370001,24.9,10145100,24.9
"204",2020-04-09,24.790001,25.85,24.26,24.700001,9968900,24.700001
"205",2020-04-13,24.07,24.99,23.355,24.959999,10783800,24.959999
"206",2020-04-14,26,26.450001,25.26,25.32,10432600,25.32
"207",2020-04-15,25.17,28.09,24.58,28.030001,18216500,28.030001
"208",2020-04-16,27.76,30,27.389999,29.379999,32865900,29.379999
"209",2020-04-17,28.4,28.969999,27.059999,28.1,16279700,28.1
"210",2020-04-20,28.66,30.200001,28.360001,29.25,23160600,29.25
"211",2020-04-21,29.5,30.1,25.93,26.459999,20504500,26.459999
"212",2020-04-22,27.17,27.200001,26.120001,26.16,9656300,26.16
"213",2020-04-23,26.33,27.49,26.02,26.530001,14308600,26.530001
"214",2020-04-24,27,27.18,25.620001,26.059999,10946000,26.059999
"215",2020-04-27,26.379999,27.870001,26.379999,27.309999,12846500,27.309999
"216",2020-04-28,28.5,28.5,26.15,26.879999,13150300,26.879999
"217",2020-04-29,26.299999,27.33,25.02,27.07,12889700,27.07
"218",2020-04-30,27.02,27.629999,26.26,26.690001,10559600,26.690001
"219",2020-05-01,26.18,26.879999,25.32,26.379999,8070400,26.379999
"220",2020-05-04,26.549999,27.450001,26.16,27.200001,6978300,27.200001
"221",2020-05-05,27.65,27.879999,26.83,27.290001,6912300,27.290001
"222",2020-05-06,27.5,28.190001,27.33,27.629999,6964100,27.629999
"223",2020-05-07,28,30.07,27.9,29.950001,20940900,29.950001
"224",2020-05-08,30.940001,31.690001,30.18,31.16,24750900,31.16
"225",2020-05-11,31.040001,31.92,30.059999,31.26,19889000,31.26
"226",2020-05-12,31.799999,32.150002,30.389999,31.01,16481000,31.01
"227",2020-05-13,31.27,31.961,29.200001,30.200001,20129000,30.200001
"228",2020-05-14,29.9,31.73,29.709999,31.66,12443100,31.66
"229",2020-05-15,31.799999,32.849998,31.110001,31.33,14103800,31.33
"230",2020-05-18,31.280001,31.400999,28.719999,29,16959300,29
"231",2020-05-19,29.559999,30.440001,29.02,29.690001,10367300,29.690001
"232",2020-05-20,30.24,31.379,30.07,31.35,8869400,31.35
"233",2020-05-21,31.5,32.080002,30.67,31.639999,9152000,31.639999
"234",2020-05-22,32.009998,32.080002,31.07,31.709999,12007100,31.709999
"235",2020-05-26,32.040001,33.285999,31.610001,32.41,15961500,32.41
"236",2020-05-27,32.299999,32.400002,30.42,32.110001,14407600,32.110001
"237",2020-05-28,32.220001,33.73,31.93,32.540001,11724000,32.540001
"238",2020-05-29,33.740002,35.110001,33.27,35.049999,33704300,35.049999
"239",2020-06-01,35.580002,37.34,35.23,37.18,18397000,37.18
"240",2020-06-02,38.77,38.900002,36.18,38.380001,37203800,38.380001
"241",2020-06-03,38.439999,39.990002,38,39.900002,26184600,39.900002
"242",2020-06-04,40,40.07,37.669998,37.939999,55102700,37.939999
"243",2020-06-05,31.77,33.599998,30.52,32.560001,91772500,32.560001
