"","Date","Time","Open","High","Low","Close","Vol","OI","FastAvg","SlowAvg","ADX","TrigLevel","DateTime"
"405","12/31/2019","04:00",3225.75,3225.75,3225.5,3225.75,15,156,3225.64,3225.76,22.05,20,"12/31/2019 04:00"
"406","12/31/2019","04:05",3225.5,3226.25,3225.25,3226.25,340,88,3225.72,3225.81,22.59,20,"12/31/2019 04:05"
"407","12/31/2019","04:10",3226.25,3226.25,3225.75,3225.75,7,137,3225.75,3225.81,23.09,20,"12/31/2019 04:10"
"408","12/31/2019","04:15",3226,3226,3225.75,3226,60,4,3225.75,3225.82,23.55,20,"12/31/2019 04:15"
"409","12/31/2019","04:20",3226,3226.75,3226,3226.75,276,233,3225.83,3225.88,24.99,20,"12/31/2019 04:20"
"410","12/31/2019","04:25",3226.75,3227.25,3226.75,3227.25,693,27,3226.06,3225.93,26.84,20,"12/31/2019 04:25"
"411","12/31/2019","04:30",3227.25,3227.25,3227,3227.25,76,50,3226.28,3226,28.55,20,"12/31/2019 04:30"
"412","12/31/2019","04:35",3227,3227.75,3226.75,3227.75,437,171,3226.53,3226.1,30.59,20,"12/31/2019 04:35"
"413","12/31/2019","04:40",3227.5,3228,3227.5,3227.75,318,207,3226.72,3226.19,32.69,20,"12/31/2019 04:40"
"414","12/31/2019","04:45",3227.75,3227.75,3227,3227.25,34,276,3226.89,3226.26,33.24,20,"12/31/2019 04:45"
"415","12/31/2019","04:50",3227,3227.5,3227,3227.25,104,156,3227,3226.36,33.75,20,"12/31/2019 04:50"
"416","12/31/2019","04:55",3227.5,3227.5,3227.25,3227.5,155,68,3227.19,3226.47,34.23,20,"12/31/2019 04:55"
"417","12/31/2019","05:00",3227.75,3227.75,3226.75,3227,146,316,3227.31,3226.53,33.35,20,"12/31/2019 05:00"
"418","12/31/2019","05:05",3227,3228,3227,3228,474,124,3227.44,3226.64,32.9,20,"12/31/2019 05:05"
"419","12/31/2019","05:10",3227.75,3228,3226.75,3226.75,29,345,3227.39,3226.72,31.88,20,"12/31/2019 05:10"
"420","12/31/2019","05:15",3226.75,3226.75,3226,3226.25,194,196,3227.28,3226.78,29.77,20,"12/31/2019 05:15"
"421","12/31/2019","05:20",3226.25,3226.5,3225.5,3225.75,100,250,3227.06,3226.79,28.61,20,"12/31/2019 05:20"
"422","12/31/2019","05:25",3225.75,3225.75,3225.25,3225.5,61,354,3226.81,3226.76,27.88,20,"12/31/2019 05:25"
"423","12/31/2019","05:30",3225.5,3225.75,3225.25,3225.5,111,153,3226.61,3226.75,27.2,20,"12/31/2019 05:30"
"424","12/31/2019","05:35",3225.5,3225.75,3225.25,3225.5,87,140,3226.42,3226.71,26.57,20,"12/31/2019 05:35"
"425","12/31/2019","05:40",3225.5,3225.75,3225.25,3225.5,46,57,3226.19,3226.69,25.99,20,"12/31/2019 05:40"
"426","12/31/2019","05:45",3225.5,3225.5,3225,3225.25,53,86,3226,3226.65,25.86,20,"12/31/2019 05:45"
"427","12/31/2019","05:50",3225.5,3225.5,3224.75,3224.75,11,320,3225.64,3226.54,26.13,20,"12/31/2019 05:50"
"428","12/31/2019","05:55",3225,3225.25,3224,3224.25,109,358,3225.36,3226.38,27.33,20,"12/31/2019 05:55"
"429","12/31/2019","06:00",3224.25,3224.5,3223.25,3223.75,583,462,3225.08,3226.18,29.12,20,"12/31/2019 06:00"
"430","12/31/2019","06:05",3224,3224.75,3224,3224,333,396,3224.89,3225.97,30.17,20,"12/31/2019 06:05"
"431","12/31/2019","06:10",3224,3224,3221,3222,1007,1764,3224.5,3225.65,32.85,20,"12/31/2019 06:10"
